"verbatimPrep","StandardPrep","standard","checked"
"",,0,1
"-",,0,0
"--",,0,0
" | tissue","tissue",0,1
"-- | tissue",,0,0
" 70% EtOH","70% alcohol",0,1
" 70% ETOH + C&S",,0,0
" Ca. half tibiofibula.",,0,0
" complete skeleton, tissue",,0,0
" L","complete skeleton",0,1
" L | tissue","complete skeleton | tissue",0,1
" N","round skin",0,1
" N | tissue","round skin | tissue",0,1
" Partial palate M1/ M2/.",,0,0
" Proximal half L tibia.",,0,0
" R c/1.",,0,0
" R DENTARY WITH ALL TEETH EXC I/1",,0,0
" R DENTARY WITH M/1",,0,0
" R DENTARY WITH M/2-3",,0,0
" R TIBIOTARSUS CENTRAL TWO-THIRDS SHAFT.",,0,0
" skull","skull",0,1
"R M2/.",,0,0
"Skull, Fluid","fluid | skull",0,1
"""alcoholic, skull prepared, skin & body dried""",,0,0
"""antler, left""",,0,0
"""antler, right""",,0,0
"""art. surface limb"" - from card cat.",,0,0
"""block of brea with bones""",,0,0
"""dist. art. radius-ulna"" from card cat.",,0,0
"""distal articular radius+ulna"" from card cat.",,0,0
"""fissure fills""",,0,0
"""hairy"" morph",,0,0
"""horns"" only",,0,0
"""lot of leg bones""",,0,0
"""Mount, Blood""","mount | blood",0,1
"""Mount, Tissue""","mount | tissue",0,1
"""Par Skeleton, Wing, Skin, DNA""","DNA | partial skeleton | skin | wing",0,1
"""Par. Skeleton, Wing, DNA""","DNA | partial skeleton | wing",0,1
"""Par.Skel, Wing, DNA""","DNA | partial skeleton | wing",0,1
"""Par.Skeleton, Wing, DNA""","DNA | partial skeleton | wing",0,1
"""Partial Skel, Wing, DNA""","DNA | partial skeleton | wing",0,1
"""Partial Skeleton, Wing, DNA""","DNA | partial skeleton | wing",0,1
"""Partial Skeleton, Wing, Tissue""","partial skeleton | tissue | wing",0,1
"""plastic, skel for mount""",,0,0
"""skel, no skull""",,0,0
"""skel, wing and tail""",,0,0
"""Skeleton, Wing (02), Tissue""","skeleton | tissue | wing",0,1
"""Skeleton, Wing (2), Tissue""","skeleton | tissue | wing",0,1
"""Skin & Wing, DNA,  partial skel in freerer""","DNA | partial skeleton (frozen) | skin | wing",0,1
"""skin, no skull""",,0,0
"""Skin, Par Skeleton, Wing, DNA""","DNA | partial skeleton | skin | wing",0,1
"""skin, wing & DNA""","DNA | skin | wing",0,1
"""Skin, Wing""","skin | wing",0,1
"""skin, wing, DNA & partial skeleton""","DNA | partial skeleton | skin | wing",0,1
"""skin/skull, teaching""",,0,0
"""skull, partial""",,0,0
"""skull, partial/anlters""",,0,0
"""tibia prox. art."" from card cat",,0,0
"""wing, par skeleton""","partial skeleton | wing",0,1
"""wings, 2 spread""",,0,0
"###############################################################################################################################################################################################################################################################",,0,0
"&",,0,0
"(1 mounted)",,0,0
"(broken)",,0,0
"(damaged)",,0,0
"(enclosed in flint)",,0,0
"(fragments)",,0,0
"(in formalin)",,0,0
"(in glycerine)",,0,0
"(in spirit)",,0,0
"(in spirit, one dissected)",,0,0
"(mounted slide)",,0,0
"(mounted)",,0,0
"(mounted, in ?glycerine)",,0,0
"(mounted, in formalin)",,0,0
"(mounted, in glycerine)",,0,0
"(mounted, in glycerol)",,0,0
"(mounted, in spirit)",,0,0
"(originally EMUS)",,0,0
"(part mounted)",,0,0
"*paleo: humerus fragment (see Comments)",,0,0
"*paleo: humerus fragment (see Comments) | tissue",,0,0
", tissue","tissue",0,1
",C,R dentary w M1-M3,MAXILLA FRAGS,L DENTARY FRAG W M1-R P4M3,R P4-M3/,L M1-M3/",,0,0
"--/",,0,0
"--/--",,0,0
"/ ANTERIOR TOOTH",,0,0
"/ CHEEK TOOTH",,0,0
"/ DP4 ?",,0,0
"/ M",,0,0
"/ M2",,0,0
"/ M3",,0,0
"/ P3",,0,0
"/ P4",,0,0
"/ P4-M3",,0,0
"/ R M",,0,0
"/ R M3",,0,0
"/2 TEETH",,0,0
"/2R M",,0,0
"/9 M2",,0,0
"/A1",,0,0
"/AN 1",,0,0
"/AN 2",,0,0
"--/body",,0,0
"/C",,0,0
"/C ?",,0,0
"/C fragment",,0,0
"/C OR /P2",,0,0
"/C OR P2",,0,0
"/C ROOT+P2+M2",,0,0
"/C,/M1",,0,0
"/C+P2+M1",,0,0
"/C1",,0,0
"/C1,/P1,I",,0,0
"/CHEEK TEETH",,0,0
"/CHEEK TEETH FRAG",,0,0
"/CHEEK TEETH FRAGS",,0,0
"/CHEEK TEETH,CHEEK TEETH/",,0,0
"/CHEEK TEETH,CHEEK TOOTH/",,0,0
"/CHEEK TEETH,I",,0,0
"/CHEEK TOOTH",,0,0
"/CHEEK TOOTH FRAG",,0,0
"/CHEEK TOOTH FRAGS",,0,0
"/CHEEK TOOTH,/CHEEK TOOTH FRAG,CHEEK TOOTH FRAG/,I FRAG",,0,0
"/CHEEK TOOTH,C",,0,0
"/CHEEK TOOTH,CHEEK TOOTH FRAG",,0,0
"/CHEEK TOOTH,CHEEK TOOTH/",,0,0
"/CHOOK TEETH",,0,0
"/C-M1",,0,0
"/D P2 ?",,0,0
"/D P4",,0,0
"/D TEETH",,0,0
"/D TEETHTH",,0,0
"/D TOOTH",,0,0
"/D TUSK",,0,0
"/DENTARY FRAG",,0,0
"/DENTARY W P3-M1",,0,0
"/DENTITION",,0,0
"/DM",,0,0
"/DM3",,0,0
"/DM4",,0,0
"/DM4-M1",,0,0
"/DP",,0,0
"/DP ?",,0,0
"/DP,TOOTH FRAG",,0,0
"/DP1",,0,0
"/DP1-DP2",,0,0
"/DP1-DP2 ?",,0,0
"/DP2",,0,0
"/DP2 ?",,0,0
"/DP2,M2/",,0,0
"/DP2-3+DP3/",,0,0
"/DP2-4",,0,0
"/DP2-DP4",,0,0
"/DP2-DP4,/M1",,0,0
"/DP2-DP4+M1",,0,0
"/DP2-M1",,0,0
"/DP2-M2",,0,0
"/DP3",,0,0
"/DP3 ?",,0,0
"/DP3 ?-M1",,0,0
"/DP3 FRAG",,0,0
"/DP3 FRAG ?",,0,0
"/DP3 OR /DP4",,0,0
"/dp3 or 4",,0,0
"/DP3-4",,0,0
"/DP3-4 FRAG",,0,0
"/DP3-DP4",,0,0
"/DP3-DP4+M2-M3",,0,0
"/DP3-M1",,0,0
"/DP3-M2",,0,0
"/DP3-M3 ?",,0,0
"/DP4",,0,0
"/DP4 ?",,0,0
"/DP4 FRAG",,0,0
"/DP4 FRAG ?",,0,0
"/DP4 OR /DP3",,0,0
"/DP4 OR /P2",,0,0
"/DP4 OR P4",,0,0
"/DP4,/DP3",,0,0
"/DP4,/M3",,0,0
"/DP4,/P3-P4,/M1-M2",,0,0
"/DP4,SQUAMOSAL",,0,0
"/DP4?",,0,0
"/DP4-M1",,0,0
"/DP4-M2",,0,0
"/DP4-M3",,0,0
"/DP4S",,0,0
"/I",,0,0
"/I ?",,0,0
"/I frag",,0,0
"/I FRAG ?",,0,0
"/I frags",,0,0
"/I OR /C OR /P",,0,0
"/I OR C",,0,0
"/I,/L P4",,0,0
"/I,DIST L TIBIA,CUBOID,DIST METATARSAL 4",,0,0
"/I,I/",,0,0
"/I+P4-M1",,0,0
"/I1",,0,0
"/I1 FRAG",,0,0
"/I1,/M",,0,0
"/I1-M3",,0,0
"/I2",,0,0
"/I2 FRAG",,0,0
"/I2-3",,0,0
"/I2-C",,0,0
"/I3",,0,0
"/incompl cheek tooth",,0,0
"/incompl L P4",,0,0
"/incompl P or M",,0,0
"/incompl P or M's",,0,0
"/incompl P4",,0,0
"/incompl P4-M2, M3",,0,0
"/INCOMPL R M2 OR M3",,0,0
"/INCOMPL TEETH",,0,0
"/JUV TEETH",,0,0
"/L",,0,0
"/L ANT TOOTH",,0,0
"/L ANTERO-LATERAL TOOTH",,0,0
"/L ANT-LAT TOOTH",,0,0
"/L C",,0,0
"/L C1",,0,0
"/L C1 FRAG",,0,0
"/L CHEEK TOOTH",,0,0
"/L CHEEK TOOTH FRAG",,0,0
"/L C-M3,/L P2-P3",,0,0
"/L C-M4",,0,0
"/L C-P2",,0,0
"/L C-P4",,0,0
"/L DM3-DM4",,0,0
"/L DP",,0,0
"/L DP ?",,0,0
"/L DP1-DP2+DP4",,0,0
"/L DP1-DP4",,0,0
"/L DP1-M1+M3",,0,0
"/L DP2",,0,0
"/L DP2-4",,0,0
"/L DP2-DP3",,0,0
"/L DP2-DP4",,0,0
"/L DP2-DP4,/R DP2-P4",,0,0
"/L DP2-M1",,0,0
"/L DP2-M2",,0,0
"/L DP3",,0,0
"/L DP3 or DP4",,0,0
"/L DP3-DP4",,0,0
"/L DP3-DP4,/M1-M2",,0,0
"/L DP3-M1",,0,0
"/L DP4",,0,0
"/L DP4 ?",,0,0
"/L DP4 OR M1",,0,0
"/L DP4,/M1-M2",,0,0
"/L DP4-M1",,0,0
"/L DP4-M1+/R M1",,0,0
"/L I",,0,0
"/L I FRAG",,0,0
"/L I,CAUDAL VERTEBRA",,0,0
"/L I+P4+M2-M3",,0,0
"/L I1",,0,0
"/L I1 FRAG",,0,0
"/L I1,/R I1",,0,0
"/L I1,R I1-I3/,R I1/",,0,0
"/L I1-C+M1-M3,/R I1-M3,FEMALE",,0,0
"/L I2",,0,0
"/L I2,/R I2",,0,0
"/L I3",,0,0
"/L I3-M2",,0,0
"/L LAT TOOTH",,0,0
"/L M",,0,0
"/L M ?",,0,0
"/L M FRAG",,0,0
"/L M FRAG,/R M FRAG,L M/",,0,0
"/L M FRAGS,/R M FRAG, /P",,0,0
"/L M OR P",,0,0
"/L M TALONID",,0,0
"/L M TRIGONID",,0,0
"/L M,/R M",,0,0
"/L M,/R M FRAG,TOOTH FRAGS",,0,0
"/L M,/R P",,0,0
"/L M,M3/,M FRAGS",,0,0
"/L M,P",,0,0
"/L M,R M FRAG/,R P3/,/L P3-M4 FRAG,P FRAG/",,0,0
"/L M,TOOTH FRAG",,0,0
"/L M/1",,0,0
"/L M/1 FRAG",,0,0
"/L M/2",,0,0
"/L M/3",,0,0
"/L M/4",,0,0
"/L M?",,0,0
"/L M+M/ FRAG",,0,0
"/L M1",,0,0
"/L M1 ?",,0,0
"/L M1 FRAG",,0,0
"/L M1 OR /L M2",,0,0
"/L M1 OR M2",,0,0
"/L M1 OR M3",,0,0
"/L M1 TALONID",,0,0
"/L M1,/L M3,/L I1",,0,0
"/L M1,/P2,/M3",,0,0
"/L M1,/R M1",,0,0
"/L M1,/R M2",,0,0
"/L M1?",,0,0
"/L M1?,/L M2?",,0,0
"/L M1+FRAG M/",,0,0
"/L M1-2",,0,0
"/L M1-3",,0,0
"/L M1-3,/R M3",,0,0
"/L M1-M2",,0,0
"/L M1-M2,/L M2-M3",,0,0
"/L M1-M2,/L P4-M1,/L P4",,0,0
"/L M1-M3",,0,0
"/L M1-M3,L P4-M3/, R P4-M3/",,0,0
"/L M1-M3,R P3-M3/,L P4-M3/",,0,0
"/L M1-M4",,0,0
"/L M2",,0,0
"/L M2 ?",,0,0
"/L M2 FRAG",,0,0
"/L M2 OR /L M3",,0,0
"/L M2 OR M3",,0,0
"/L M2 OR M4",,0,0
"/L M2,/R M2",,0,0
"/L M2,/R M2,R M2/,L M3/,L M2/",,0,0
"/L M2? FRAG",,0,0
"/L M2-3",,0,0
"/L M2-M3",,0,0
"/L M2-M3,/M",,0,0
"/L M2-M4",,0,0
"/L M3",,0,0
"/L M3 ?",,0,0
"/L M3 FRAG",,0,0
"/L M3 FRAG,/L M4",,0,0
"/L M3 OR M4",,0,0
"/L M3 W DENTARY FRAG",,0,0
"/L M3,/L M",,0,0
"/L M3,/L M2",,0,0
"/L M3,/L M3 FRAG,/L P4,/L M,L P3 OR P4/,/R M,/R M FRAG,L M/,R M/TIC,BASISPHENOID",,0,0
"/L M3,/R M FRAG,L P4/,L M3/,/M FRAGS",,0,0
"/L M3,/R M3,L M/,L M3/",,0,0
"/L M3,DENTARY FRAG W P3",,0,0
"/L M3,L CHEEK TOOTH/,R CHEEK TOOTH/",,0,0
"/L M3?",,0,0
"/L M3? FRAG",,0,0
"/L M3-M4",,0,0
"/L M4",,0,0
"/L M4 ?",,0,0
"/L M4 FRAG",,0,0
"/L M5",,0,0
"/L MAXILLA",,0,0
"/L P",,0,0
"/L P ?",,0,0
"/L P FRAG",,0,0
"/L P or M",,0,0
"/L P or M's",,0,0
"/L P, L P/",,0,0
"/L P,/R M",,0,0
"/L P,/R P",,0,0
"/L P,I,/R P",,0,0
"/L P+M1-M4",,0,0
"/L P1",,0,0
"/L P1 OR P2",,0,0
"/L P1+P3-M2",,0,0
"/L P1-4",,0,0
"/L P1-M2",,0,0
"/L P1-M3",,0,0
"/L P1-P2,/P4,/M FRAG",,0,0
"/L P1-P2+P4-M3",,0,0
"/L P1-P3",,0,0
"/L P1-P4",,0,0
"/L P2",,0,0
"/L P2,/L DP3",,0,0
"/L P2,M1,M2",,0,0
"/L P2?",,0,0
"/L P2+P4-M3",,0,0
"/L P2-M1",,0,0
"/L P2-M1,/L M1-2,/R P1-2,2 DENTARY",,0,0
"/L P2-M3",,0,0
"/L P2-M3,/R P2-M1",,0,0
"/L P2-M3+/R P2-P4",,0,0
"/L P2-M4",,0,0
"/L P2-P3",,0,0
"/L P2-P3,/R P3 ?,I",,0,0
"/L P2-P4",,0,0
"/L P2-P4, /incompl M1-M2, dentary frag w L C+L+R I1-I3",,0,0
"/L P3",,0,0
"/L P3 ?",,0,0
"/L P3,/R M,DENTARY FRAG W M2-M3",,0,0
"/L P3,DENTARY FRAG",,0,0
"/L P3?",,0,0
"/L P3+M3-M4",,0,0
"/L P3+M4",,0,0
"/L P3-4",,0,0
"/L P3-M1",,0,0
"/L P3-M2",,0,0
"/L P3-M3",,0,0
"/L P3-M4",,0,0
"/L P3-P4",,0,0
"/L P3-P4,/R P4,R M2/",,0,0
"/L P4",,0,0
"/L P4 ?",,0,0
"/L P4 FRAG",,0,0
"/L P4 OR /M",,0,0
"/L P4,/L M1",,0,0
"/L P4,/R M3",,0,0
"/L P4,M FRAG/",,0,0
"/L P4,P",,0,0
"/L P4?",,0,0
"/L P4-M1",,0,0
"/L P4-M2",,0,0
"/L P4-M2,/R P4-M3",,0,0
"/L P4-M3",,0,0
"/L P5?",,0,0
"/L TEETH",,0,0
"/L TOOTH",,0,0
"/L TOOTH FRAG",,0,0
"/L TOOTH ROW",,0,0
"/L+R C+P3-M1",,0,0
"/L+R P3-P4",,0,0
"/LATERAL 1",,0,0
"/LATERAL 2",,0,0
"/LDP2",,0,0
"/LDP3",,0,0
"/LDP4",,0,0
"/LDP4 or M1 In crypt",,0,0
"/LDP4 TRIGONID",,0,0
"/LI",,0,0
"/LI, /LM1-M3 incompl",,0,0
"/LI? frag",,0,0
"/LI2",,0,0
"/LI3",,0,0
"/LM",,0,0
"/LM frag",,0,0
"/LM frag.",,0,0
"/LM TALONID",,0,0
"/LM TRIGONID",,0,0
"/LM,RM/,P/,PS",,0,0
"/LM1",,0,0
"/LM1 ant loop frag",,0,0
"/LM1 FRAG",,0,0
"/LM1,/M2,DENTARY FRAG",,0,0
"/LM1?",,0,0
"/LM1or2",,0,0
"/LM2",,0,0
"/LM2 FRAG",,0,0
"/LM2 OR M3",,0,0
"/LM2 TALONID",,0,0
"/LM2 TRIGONID",,0,0
"/LM2?",,0,0
"/LM2-M3",,0,0
"/LM3",,0,0
"/LM3 TALONID",,0,0
"/LM3 TRIGONID",,0,0
"/LM3-3",,0,0
"/LM4",,0,0
"/LM4 TALONID",,0,0
"/LMX",,0,0
"/LMX FRAG",,0,0
"/LMX TALONID",,0,0
"/LMX TRIGONID",,0,0
"/LP2",,0,0
"/LP2-M3",,0,0
"/LP3",,0,0
"/LP3-M3",,0,0
"/LP4",,0,0
"/LP4 frags",,0,0
"/LP4? frag",,0,0
"/LPL P",,0,0
"/M",,0,0
"/m ?",,0,0
"/M ? FRAG",,0,0
"/M 1",,0,0
"/M FRAG",,0,0
"/M FRAG /TOOTH FRAGS",,0,0
"/M FRAG,2 I",,0,0
"/M FRAG,PETROSAL FRAG",,0,0
"/m frag.",,0,0
"/M FRAGS",,0,0
"/M FRAGS,/P",,0,0
"/M M/",,0,0
"/M OR /DP",,0,0
"/M or P frag",,0,0
"/M or P frags",,0,0
"/M OR P TRIGONID",,0,0
"/M POST FRAG",,0,0
"/m tal.",,0,0
"/M TALONID",,0,0
"/M TRIGONID",,0,0
"/M, DENTARY FRAGS",,0,0
"/M,/DP4",,0,0
"/M,/M FRAG,/M3,M3/",,0,0
"/M,/P",,0,0
"/M,/P,C",,0,0
"/M,/P,TOOTH FRAG",,0,0
"/M,/P4",,0,0
"/M,/R M3,/L M3",,0,0
"/M,CHEEK TOOTH FRAG",,0,0
"/M,DENTARY FRAG",,0,0
"/M,DIST PHAL,PROX METAPODIAL,DIST HUMERUS",,0,0
"/M,I",,0,0
"/M,M FRAG/",,0,0
"/M,M/",,0,0
"/M,M/,I",,0,0
"/M,M/,M FRAG",,0,0
"/M,M/,P",,0,0
"/M,M1-M2/",,0,0
"/M,P/",,0,0
"/M,PHALANX",,0,0
"/M,PHALANX FRAG,BONE FRAGS",,0,0
"/M,PISIFORM,DIST PHALANX",,0,0
"/M,PM",,0,0
"/M,TOOTH FRAG",,0,0
"/M,TOOTH FRAGS",,0,0
"/M,TOOTH/",,0,0
"/M?",,0,0
"/M? frag",,0,0
"/M? frag.",,0,0
"/M+/P",,0,0
"/m1",,0,0
"/M1 & DENTARY FRAG",,0,0
"/M1 ?",,0,0
"/M1 FRAG",,0,0
"/M1 FRAG ?",,0,0
"/M1 frag.",,0,0
"/M1 fragment",,0,0
"/M1 OR /M2",,0,0
"/M1 OR /P4",,0,0
"/M1 OR M2",,0,0
"/M1 OR M2 FRAG",,0,0
"/M1 OR M2 OR M3",,0,0
"/M1 OR P4",,0,0
"/M1 TALONID",,0,0
"/M1 TALONID+M2-M3",,0,0
"/M1 TRIGONID",,0,0
"/M1,/M2",,0,0
"/M1,/M2,/M4",,0,0
"/M1,/M2,M",,0,0
"/M1,/M3",,0,0
"/M1,/P4",,0,0
"/M1,M1/",,0,0
"/M1,M1-M3/",,0,0
"/M1,P4/",,0,0
"/M1,TEETH",,0,0
"/M1?",,0,0
"/M1-2",,0,0
"/M1-2 ?",,0,0
"/M1-2,DENTARY FRAG",,0,0
"/M1-2,DP4-M1/",,0,0
"/M1-3",,0,0
"/M1-3,DENTARY FRAG",,0,0
"/M1-3,M/",,0,0
"/M1-M2",,0,0
"/M1-M2,/M1,/P3",,0,0
"/M1-M3",,0,0
"/M1-M3 ?",,0,0
"/M1-M3,TEETH/",,0,0
"/M1-M4",,0,0
"/M1OR/M2",,0,0
"/M2",,0,1
"/M2 /M3 M3/",,0,0
"/M2 ?",,0,0
"/M2 FRAG",,0,0
"/M2 fragment",,0,0
"/M2 OR /M1",,0,0
"/M2 OR /M3",,0,0
"/M2 OR M3",,0,0
"/M2 OR M3 FRAG",,0,0
"/M2,/I1",,0,0
"/M2,/M3",,0,0
"/M2,/M3 FRAGS",,0,0
"/M2,C,TEETH",,0,0
"/M2,DENTARY FRAG",,0,0
"/M2,I",,0,0
"/M2,M3/",,0,0
"/M2,MAXILLA FRAG W P4-M2",,0,0
"/M2,TOOTH/",,0,0
"/M2-3",,0,0
"/M2-3 FRAG",,0,0
"/M2-3,/P1-2",,0,0
"/M2-3,DENTARY FRAG",,0,0
"/M2-M3",,0,0
"/M2-M3 FRAG",,0,0
"/M2-M3 frags",,0,0
"/M2-M3,/M1-M2",,0,0
"/M2-M4",,0,0
"/M3",,0,0
"/M3 ?",,0,0
"/M3 FRAG",,0,0
"/M3 FRAG ?",,0,0
"/M3 FRAG,P ?",,0,0
"/M3 FRAGS,/M",,0,0
"/M3 FRAGS,M3 FRAGS/",,0,0
"/M3 OR /DP4",,0,0
"/M3 OR M4",,0,0
"/M3 TALONID",,0,0
"/M3,/M,M/,P4/",,0,0
"/M3,/M2 FRAG",,0,0
"/M3,/M3 FRAG",,0,0
"/M3,/P4",,0,0
"/M3,DENTARY FRAG",,0,0
"/M3,DENTARY FRAGSDIST FIBULA",,0,0
"/M3,M/",,0,0
"/M3,M3/",,0,0
"/M3,TEETH",,0,0
"/M3,TOOTH FRAGS",,0,0
"/M3?",,0,0
"/M3-4",,0,0
"/M4",,0,0
"/M5",,0,0
"/MANDIBLE",,0,0
"/MANDIBLE FRAG",,0,0
"/MANDIBLE FRAGS,TEETH",,0,0
"/Mb",,0,0
"/MOLAR",,0,0
"/mx",,0,0
"/Mx frag.",,0,0
"/MX TALONID",,0,0
"/MX TRIGONID",,0,0
"/P",,0,0
"/P ?",,0,0
"/P 4",,0,0
