"verbatimMonth","monthNumber","dayOfYearForFirst","checked","opinionBy","opinionDate"
"   ",,,1,"John Wieczorek","2017-08-25"
"-",,,1,"John Wieczorek","2018-04-28"
"---",,,1,"John Wieczorek","2017-08-25"
"  Jan",1,0,1,"John Wieczorek","2017-08-25"
"  May ",5,120,1,"John Wieczorek","2017-08-25"
"  Oct",10,273,1,"John Wieczorek","2017-08-25"
" & Nov ",,,1,"John Wieczorek","2017-08-25"
" / 29 Nov",11,304,1,"John Wieczorek","2018-04-29"
" 02 Aug",8,212,1,"John Wieczorek","2017-08-25"
" 03",,,1,"John Wieczorek","2018-04-30"
" 05 May",5,120,1,"John Wieczorek","2017-08-25"
" 08 Jul",7,181,1,"John Wieczorek","2017-08-25"
" 09 Jul",7,181,1,"John Wieczorek","2017-08-25"
" 1",1,0,1,"John Wieczorek","2017-08-25"
" 1 Apr",8,212,1,"John Wieczorek","2018-04-29"
" 1 Feb ",2,31,1,"John Wieczorek","2017-08-25"
" 1(?)",,,1,"John Wieczorek","2018-04-29"
" 10",10,273,1,"John Wieczorek","2017-08-25"
" 10 April",4,90,1,"John Wieczorek","2017-08-25"
" 10 August",8,212,1,"John Wieczorek","2017-08-25"
" 10 Jan",1,0,1,"John Wieczorek","2018-04-29"
" 10 Mar",3,59,1,"John Wieczorek","2018-04-29"
" 11",,,1,"John Wieczorek","2017-08-25"
" 12",12,334,1,"John Wieczorek","2017-08-25"
" 13",,,1,"John Wieczorek","2017-08-25"
" 13(?)",,,1,"John Wieczorek","2018-04-29"
" 13th",,,1,"John Wieczorek","2018-04-30"
" 14",,,1,"John Wieczorek","2017-08-25"
" 15",,,1,"John Wieczorek","2017-08-25"
" 15 Jan",1,0,1,"John Wieczorek","2017-08-25"
" 15 or Sep 23",,,1,"John Wieczorek","2017-08-25"
" 15th",,,1,"John Wieczorek","2018-04-29"
" 16",,,1,"John Wieczorek","2017-08-25"
" 16th",,,1,"John Wieczorek","2018-04-29"
" 17",,,1,"John Wieczorek","2017-08-25"
" 17th",,,1,"John Wieczorek","2018-04-29"
" 18",,,1,"John Wieczorek","2017-08-25"
" 1827 and",,,1,"John Wieczorek","2017-08-25"
" 1856 to",,,1,"John Wieczorek","2018-04-29"
" 1876 and",,,1,"John Wieczorek","2017-08-25"
" 18th",,,1,"John Wieczorek","2017-08-25"
" 19",,,1,"John Wieczorek","2017-08-25"
" 1912",,,1,"John Wieczorek","2017-08-25"
" 1915",,,1,"John Wieczorek","2017-08-25"
" 1936 ",,,1,"John Wieczorek","2018-04-29"
" 1968",,,1,"John Wieczorek","2017-08-25"
" 1969 ",,,1,"John Wieczorek","2017-08-25"
" 1971",,,1,"John Wieczorek","2017-08-25"
" 1973 ",,,1,"John Wieczorek","2017-08-25"
" 1991",,,1,"John Wieczorek","2017-08-25"
" 1996 and 1-May",,,1,"John Wieczorek","2017-08-25"
" 2",2,31,1,"John Wieczorek","2017-08-25"
" 2-",,,1,"John Wieczorek","2017-12-03"
" 2 and 3",,,1,"David Bloom","2018-02-07"
" 2 Dec",12,334,1,"John Wieczorek","2018-04-29"
" 2 or 3",,,1,"John Wieczorek","2017-08-25"
" 20",,,1,"John Wieczorek","2017-08-25"
" 20 April",4,90,1,"John Wieczorek","2017-08-25"
" 20 Jan",1,0,1,"John Wieczorek","2018-04-29"
" 21",,,1,"John Wieczorek","2017-08-25"
" 21st",,,1,"John Wieczorek","2018-04-29"
" 22",,,1,"John Wieczorek","2017-08-25"
" 22 d",,,1,"John Wieczorek","2018-04-30"
