"verbatimDay","dayNumber","checked","opinionBy","opinionDate"
" ",,1,"John Wieczorek","2018-09-19"
"-",,1,"John Wieczorek","2018-04-29"
"--",,1,"David Bloom","2017-12-18"
" 15 & 16",,1,"David Bloom","2017-12-28"
" IX ",,1,"John Wieczorek","2018-05-18"
"(?)",,1,"John Wieczorek","2018-04-29"
"(8?)",,1,"John Wieczorek","2017-12-03"
"(April?)",,1,"John Wieczorek","2018-04-29"
"*",,1,"John Wieczorek","2018-09-19"
"/",,1,"John Wieczorek","2018-04-29"
";",0,1,"David Bloom","2018-06-11"
"-;",0,1,"David Bloom","2018-06-11"
"?",,1,"John Wieczorek","2017-12-03"
"??",,1,"John Wieczorek","2018-04-26"
"?1",1,1,"John Wieczorek","2018-05-18"
"?11",11,1,"John Wieczorek","2018-05-18"
"?14",14,1,"John Wieczorek","2018-05-18"
"?2",,1,"John Wieczorek","2018-04-29"
"?20",20,1,"John Wieczorek","2018-05-18"
"?22",22,1,"John Wieczorek","2018-05-18"
"?24",24,1,"John Wieczorek","2018-05-18"
"?4",4,1,"John Wieczorek","2018-05-18"
"?late",,1,"John Wieczorek","2018-05-18"
"[illegible]",,1,"John Wieczorek","2018-04-29"
"[July",0,1,"David Bloom","2018-06-14"
"[no",,1,"John Wieczorek","2018-04-13"
"~",,1,"John Wieczorek","2018-04-30"
"~20",,1,"John Wieczorek","2017-12-02"
"~24",24,1,"David Bloom","2018-06-13"
"~5",5,1,"David Bloom","2018-06-13"
"0",,1,"John Wieczorek","2018-04-26"
"00",,1,"John Wieczorek","2017-12-02"
"01",1,1,"John Wieczorek","2017-08-25"
"02",2,1,"John Wieczorek","2017-08-25"
"03",3,1,"John Wieczorek","2017-08-25"
"04",4,1,"John Wieczorek","2017-08-25"
"05",5,1,"John Wieczorek","2017-08-25"
"06",6,1,"John Wieczorek","2017-08-25"
"07",7,1,"John Wieczorek","2017-08-25"
"08",8,1,"John Wieczorek","2017-08-25"
"09",9,1,"John Wieczorek","2017-08-25"
"1",1,1,"John Wieczorek","2017-08-25"
"1 - 2",,1,"John Wieczorek","2018-09-19"
"1 - 3",,1,"John Wieczorek","2018-09-19"
"1 - 9",,1,"John Wieczorek","2018-09-19"
"10",10,1,"John Wieczorek","2017-08-25"
"10 - 11",,1,"John Wieczorek","2018-09-19"
"10 - 14",,1,"John Wieczorek","2018-09-19"
"10/",10,1,"John Wieczorek","2018-09-19"
"10-12",,1,"John Wieczorek","2018-09-19"
"11",11,1,"John Wieczorek","2017-08-25"
"11-",11,1,"John Wieczorek","2017-12-03"
"11 - 12",,1,"John Wieczorek","2018-09-19"
"11(or",,1,"John Wieczorek","2018-10-10"
"11/",11,1,"John Wieczorek","2018-09-19"
"1115",,1,"John Wieczorek","2017-12-03"
"12",12,1,"John Wieczorek","2017-08-25"
"12 - 13",,1,"John Wieczorek","2018-09-19"
"1200",,1,"John Wieczorek","2018-05-18"
"13",13,1,"John Wieczorek","2017-08-25"
"1-3",0,1,"David Bloom","2018-07-11"
"13 - 14",,1,"John Wieczorek","2018-09-19"
"13 - 15",,1,"John Wieczorek","2018-09-19"
"13 - 18",,1,"John Wieczorek","2018-09-19"
"13.825",,1,"David Bloom","2018-02-19"
"14",14,1,"John Wieczorek","2017-08-25"
"14 - 15",,1,"John Wieczorek","2018-09-19"
"14 - 17",,1,"John Wieczorek","2018-09-19"
"14 - 20",,1,"John Wieczorek","2018-09-19"
"14/15",,1,"David Bloom","2019-01-21"
"14-15",,1,"John Wieczorek","2018-09-19"
"14-16",,1,"John Wieczorek","2018-09-19"
"1418",,1,"John Wieczorek","2017-12-03"
"15",15,1,"John Wieczorek","2017-08-25"
"15 - 19",,1,"John Wieczorek","2018-09-19"
"15 - 22",,1,"John Wieczorek","2018-09-19"
"15 - 27",,1,"John Wieczorek","2018-09-19"
"15 & 16",,1,"David Bloom","2017-12-28"
"15 &16",,1,"David Bloom","2017-12-28"
"15 -7",,1,"John Wieczorek","2018-09-19"
"15&16",,1,"David Bloom","2017-12-28"
"15-16",,1,"John Wieczorek","2018-09-19"
"16",16,1,"John Wieczorek","2017-08-25"
"16 - 17",,1,"John Wieczorek","2018-09-19"
"16 - 18",,1,"John Wieczorek","2018-09-19"
"16 - 29",,1,"John Wieczorek","2018-09-19"
"16 - 5",,1,"John Wieczorek","2018-10-30"
"17",17,1,"John Wieczorek","2017-08-25"
"1-7",,1,"John Wieczorek","2018-09-19"
"17-",17,1,"John Wieczorek","2017-11-01"
"17 - 18",,1,"John Wieczorek","2018-09-19"
"17 - 19",,1,"John Wieczorek","2018-09-19"
"17 - 22",,1,"John Wieczorek","2018-09-19"
"17/18",,1,"John Wieczorek","2018-10-10"
"17-18",,1,"John Wieczorek","2018-09-19"
"17-2",,1,"John Wieczorek","2018-09-19"
"17N",17,1,"John Wieczorek","2019-12-29"
"18",18,1,"John Wieczorek","2017-08-25"
"18 - 19",,1,"John Wieczorek","2018-09-19"
"18 - 20",,1,"John Wieczorek","2018-09-19"
"18 - 24",,1,"John Wieczorek","2018-09-19"
"18-19-20",,1,"John Wieczorek","2017-12-03"
